filename, language, CSS, SCSS, TypeScript, HTML, comment, blank, total
c:\data\repos\hkdev\propman-8.0\src\app\query-builder\rule\rule.component.ts, TypeScript, 0, 0, 64, 0, 10, 17, 91
c:\data\repos\hkdev\propman-8.0\src\app\query-builder\ruleset\ruleset.component.html, HTML, 0, 0, 0, 0, 15, 0, 15
c:\data\repos\hkdev\propman-8.0\src\app\query-builder\ruleset\ruleset.component.scss, SCSS, 0, 6, 0, 0, 0, 0, 6
c:\data\repos\hkdev\propman-8.0\src\app\query-builder\ruleset\ruleset.component.spec.ts, TypeScript, 0, 0, 20, 0, 0, 6, 26
c:\data\repos\hkdev\propman-8.0\src\app\query-builder\ruleset\ruleset.component.ts, TypeScript, 0, 0, 22, 0, 0, 7, 29
c:\data\repos\hkdev\propman-8.0\src\app\rules\dlg-addrule\dlg-addrule.component.html, HTML, 0, 0, 0, 25, 0, 2, 27
c:\data\repos\hkdev\propman-8.0\src\app\rules\dlg-addrule\dlg-addrule.component.scss, SCSS, 0, 0, 0, 0, 0, 1, 1
c:\data\repos\hkdev\propman-8.0\src\app\rules\dlg-addrule\dlg-addrule.component.spec.ts, TypeScript, 0, 0, 20, 0, 0, 6, 26
c:\data\repos\hkdev\propman-8.0\src\app\rules\dlg-addrule\dlg-addrule.component.ts, TypeScript, 0, 0, 24, 0, 0, 12, 36
c:\data\repos\hkdev\propman-8.0\src\app\rules\rules.component.html, HTML, 0, 0, 0, 20, 26, 3, 49
c:\data\repos\hkdev\propman-8.0\src\app\rules\rules.component.scss, SCSS, 0, 22, 0, 0, 3, 4, 29
c:\data\repos\hkdev\propman-8.0\src\app\rules\rules.component.ts, TypeScript, 0, 0, 200, 0, 16, 29, 245
c:\data\repos\hkdev\propman-8.0\src\app\rules\rules.component2.html, HTML, 0, 0, 0, 142, 36, 12, 190
c:\data\repos\hkdev\propman-8.0\src\app\services\config.service.ts, TypeScript, 0, 0, 81, 0, 2, 18, 101
c:\data\repos\hkdev\propman-8.0\src\app\services\data\definitions.ts, TypeScript, 0, 0, 269, 0, 0, 4, 273
c:\data\repos\hkdev\propman-8.0\src\app\services\message.service.spec.ts, TypeScript, 0, 0, 9, 0, 0, 4, 13
c:\data\repos\hkdev\propman-8.0\src\app\services\message.service.ts, TypeScript, 0, 0, 15, 0, 0, 4, 19
c:\data\repos\hkdev\propman-8.0\src\app\services\properties.service.ts, TypeScript, 0, 0, 663, 0, 62, 91, 816
c:\data\repos\hkdev\propman-8.0\src\app\settings-dialog\generell-configuration-tab.html, HTML, 0, 0, 0, 8, 0, 2, 10
c:\data\repos\hkdev\propman-8.0\src\app\settings-dialog\host-configuration-tab.html, HTML, 0, 0, 0, 33, 0, 4, 37
c:\data\repos\hkdev\propman-8.0\src\app\settings-dialog\settings-dialog.component.css, CSS, 0, 0, 0, 0, 0, 1, 1
c:\data\repos\hkdev\propman-8.0\src\app\settings-dialog\settings-dialog.component.html, HTML, 0, 0, 0, 12, 4, 1, 17
c:\data\repos\hkdev\propman-8.0\src\app\settings-dialog\settings-dialog.component.spec.ts, TypeScript, 0, 0, 20, 0, 0, 6, 26
c:\data\repos\hkdev\propman-8.0\src\app\settings-dialog\settings-dialog.component.ts, TypeScript, 0, 0, 109, 0, 14, 31, 154
c:\data\repos\hkdev\propman-8.0\src\app\users\users.component.html, HTML, 0, 0, 0, 22, 1, 0, 23
c:\data\repos\hkdev\propman-8.0\src\app\users\users.component.scss, SCSS, 0, 9, 0, 0, 0, 0, 9
c:\data\repos\hkdev\propman-8.0\src\app\users\users.component.spec.ts, TypeScript, 0, 0, 20, 0, 0, 6, 26
c:\data\repos\hkdev\propman-8.0\src\app\users\users.component.ts, TypeScript, 0, 0, 26, 0, 0, 6, 32
Total, -, 3, 77, 3861, 573, 502, 674, 5690
